,county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020","Rates of Persons, aged 55+, Living with HIV, 2020",HIV aged 45+
111,Yuma,Arizona,304.0,164.0,206.0
112,Arkansas,Arkansas,431.0,0.0,129.29999999999998
113,Ashley,Arkansas,246.0,116.0,155.0
114,Baxter,Arkansas,199.0,0.0,59.699999999999996
115,Benton,Arkansas,204.0,162.0,174.6
116,Boone,Arkansas,176.0,83.0,110.89999999999999
117,Bradley,Arkansas,0.0,144.0,100.8
118,Calhoun,Arkansas,0.0,256.0,179.2
119,Carroll,Arkansas,314.0,265.0,279.7
120,Chicot,Arkansas,505.0,0.0,151.5
121,Clark,Arkansas,456.0,126.0,224.99999999999997
122,Clay,Arkansas,0.0,0.0,
123,Cleburne,Arkansas,0.0,92.0,64.39999999999999
124,Cleveland,Arkansas,0.0,0.0,
125,Columbia,Arkansas,325.0,0.0,97.5
126,Conway,Arkansas,0.0,190.0,133.0
127,Craighead,Arkansas,377.0,146.0,215.29999999999998
128,Crawford,Arkansas,138.0,0.0,41.4
129,Crittenden,Arkansas,1109.0,0.0,332.7
130,Cross,Arkansas,544.0,189.0,295.5
131,Dallas,Arkansas,0.0,0.0,
132,Desha,Arkansas,0.0,185.0,129.5
133,Drew,Arkansas,259.0,0.0,77.7
134,Faulkner,Arkansas,249.0,135.0,169.2
135,Franklin,Arkansas,0.0,0.0,
136,Fulton,Arkansas,0.0,0.0,
137,Garland,Arkansas,463.0,0.0,138.9
138,Grant,Arkansas,212.0,116.0,144.79999999999998
139,Greene,Arkansas,136.0,0.0,40.8
140,Hempstead,Arkansas,333.0,85.0,159.39999999999998
141,Hot Spring,Arkansas,232.0,0.0,69.6
142,Howard,Arkansas,0.0,0.0,
143,Independence,Arkansas,262.0,0.0,78.6
144,Izard,Arkansas,0.0,124.0,86.8
145,Jackson,Arkansas,449.0,0.0,134.7
146,Jefferson,Arkansas,1001.0,408.0,585.9
147,Johnson,Arkansas,0.0,74.0,51.8
148,Lafayette,Arkansas,0.0,0.0,
149,Lawrence,Arkansas,0.0,110.0,77.0
150,Lee,Arkansas,992.0,0.0,297.59999999999997
151,Lincoln,Arkansas,804.0,275.0,433.7
152,Little River,Arkansas,463.0,138.0,235.5
153,Logan,Arkansas,0.0,79.0,55.3
154,Lonoke,Arkansas,181.0,0.0,54.3
155,Madison,Arkansas,0.0,87.0,60.9
156,Marion,Arkansas,377.0,0.0,113.1
157,Miller,Arkansas,503.0,303.0,363.0
158,Mississippi,Arkansas,304.0,0.0,91.2
159,Monroe,Arkansas,664.0,304.0,412.0
160,Montgomery,Arkansas,0.0,0.0,
161,Nevada,Arkansas,480.0,0.0,144.0
162,Newton,Arkansas,0.0,0.0,
163,Ouachita,Arkansas,371.0,352.0,357.7
164,Perry,Arkansas,0.0,0.0,
165,Phillips,Arkansas,762.0,0.0,228.6
166,Pike,Arkansas,0.0,0.0,
167,Poinsett,Arkansas,0.0,94.0,65.8
168,Polk,Arkansas,256.0,0.0,76.8
169,Pope,Arkansas,109.0,0.0,32.699999999999996
170,Prairie,Arkansas,507.0,0.0,152.1
171,Pulaski,Arkansas,961.0,549.0,672.5999999999999
172,Randolph,Arkansas,0.0,101.0,70.69999999999999
173,Saline,Arkansas,207.0,91.0,125.79999999999998
174,Scott,Arkansas,0.0,0.0,
175,Searcy,Arkansas,0.0,0.0,
176,Sebastian,Arkansas,459.0,187.0,268.6
177,Sevier,Arkansas,0.0,154.0,107.8
178,Sharp,Arkansas,0.0,83.0,58.099999999999994
179,St. Francis,Arkansas,940.0,0.0,282.0
180,Stone,Arkansas,0.0,0.0,
181,Union,Arkansas,555.0,0.0,166.5
182,Van Buren,Arkansas,0.0,0.0,
183,Washington,Arkansas,372.0,232.0,274.0
184,White,Arkansas,209.0,0.0,62.699999999999996
185,Woodruff,Arkansas,0.0,247.0,172.89999999999998
186,Yell,Arkansas,227.0,0.0,68.1
187,Alameda,California,669.0,584.0,609.5
188,Alpine,California,0.0,0.0,
189,Amador,California,0.0,0.0,
190,Butte,California,314.0,0.0,94.2
191,Calaveras,California,0.0,0.0,
192,Colusa,California,0.0,0.0,
193,Contra Costa,California,398.0,341.0,358.09999999999997
194,Del Norte,California,0.0,0.0,
195,El Dorado,California,208.0,149.0,166.7
196,Fresno,California,411.0,312.0,341.7
197,Glenn,California,0.0,0.0,
198,Humboldt,California,311.0,234.0,257.09999999999997
199,Imperial,California,525.0,282.0,354.9
200,Inyo,California,0.0,0.0,
201,Kern,California,457.0,310.0,354.1
202,Kings,California,311.0,190.0,226.3
203,Lake,California,432.0,0.0,129.6
204,Lassen,California,0.0,0.0,
205,Los Angeles,California,985.0,697.0,783.4
206,Madera,California,271.0,196.0,218.5
207,Marin,California,465.0,421.0,434.2
208,Mariposa,California,0.0,0.0,
209,Mendocino,California,367.0,0.0,110.1
210,Merced,California,234.0,174.0,192.0
211,Modoc,California,0.0,0.0,
212,Mono,California,0.0,0.0,
213,Monterey,California,414.0,272.0,314.59999999999997
214,Napa,California,377.0,308.0,328.7
215,Nevada,California,293.0,0.0,87.89999999999999
216,Orange,California,426.0,282.0,325.2
217,Placer,California,148.0,126.0,132.6
218,Plumas,California,0.0,0.0,
219,Riverside,California,670.0,832.0,783.4
220,Sacramento,California,574.0,445.0,483.7
221,San Benito,California,151.0,159.0,156.6
222,San Bernardino,California,439.0,313.0,350.79999999999995
223,San Diego,California,854.0,630.0,697.2
224,San Francisco,California,2626.0,2427.0,2486.7
225,San Joaquin,California,398.0,266.0,305.59999999999997
226,San Luis Obispo,California,306.0,190.0,224.8
227,San Mateo,California,384.0,324.0,342.0
228,Santa Barbara,California,304.0,211.0,238.89999999999998
229,Santa Clara,California,352.0,250.0,280.6
230,Santa Cruz,California,404.0,288.0,322.79999999999995
231,Shasta,California,184.0,171.0,174.89999999999998
232,Sierra,California,0.0,0.0,
233,Siskiyou,California,0.0,0.0,
234,Solano,California,516.0,453.0,471.9
235,Sonoma,California,440.0,500.0,482.0
236,Stanislaus,California,343.0,222.0,258.29999999999995
237,Sutter,California,230.0,0.0,69.0
238,Tehama,California,128.0,104.0,111.19999999999999
239,Trinity,California,0.0,0.0,
240,Tulare,California,205.0,141.0,160.2
241,Tuolumne,California,0.0,0.0,
242,Ventura,California,219.0,185.0,195.2
243,Yolo,California,275.0,254.0,260.29999999999995
244,Yuba,California,354.0,0.0,106.2
245,Adams,Colorado,434.0,363.0,384.29999999999995
246,Alamosa,Colorado,668.0,0.0,200.4
247,Arapahoe,Colorado,500.0,330.0,381.0
248,Archuleta,Colorado,0.0,93.0,65.1
249,Baca,Colorado,0.0,0.0,
250,Bent,Colorado,0.0,0.0,
251,Boulder,Colorado,259.0,248.0,251.3
252,Broomfield,Colorado,0.0,31.0,21.7
253,Chaffee,Colorado,0.0,80.0,56.0
254,Cheyenne,Colorado,0.0,0.0,
255,Clear Creek,Colorado,426.0,234.0,291.59999999999997
256,Conejos,Colorado,0.0,0.0,
257,Costilla,Colorado,0.0,0.0,
258,Crowley,Colorado,0.0,345.0,241.49999999999997
259,Custer,Colorado,0.0,0.0,
260,Delta,Colorado,0.0,75.0,52.5
261,Denver,Colorado,1392.0,1744.0,1638.3999999999999
262,Dolores,Colorado,0.0,0.0,
263,Douglas,Colorado,129.0,109.0,115.0
264,Eagle,Colorado,234.0,0.0,70.2
265,El Paso,Colorado,292.0,202.0,228.99999999999997
266,Elbert,Colorado,126.0,151.0,143.5
267,Fremont,Colorado,640.0,0.0,192.0
268,Garfield,Colorado,188.0,153.0,163.5
269,Gilpin,Colorado,0.0,321.0,224.7
270,Grand,Colorado,0.0,171.0,119.69999999999999
271,Gunnison,Colorado,0.0,0.0,
272,Hinsdale,Colorado,0.0,0.0,
273,Huerfano,Colorado,0.0,202.0,141.39999999999998
274,Jackson,Colorado,0.0,0.0,
275,Jefferson,Colorado,310.0,217.0,244.89999999999998
276,Kiowa,Colorado,0.0,0.0,
277,Kit Carson,Colorado,0.0,0.0,
278,La Plata,Colorado,131.0,165.0,154.79999999999998
279,Lake,Colorado,0.0,0.0,
280,Larimer,Colorado,188.0,122.0,141.79999999999998
281,Las Animas,Colorado,386.0,154.0,223.6
282,Lincoln,Colorado,904.0,0.0,271.2
283,Logan,Colorado,319.0,145.0,197.2
284,Mesa,Colorado,217.0,130.0,156.1
285,Mineral,Colorado,0.0,0.0,
286,Moffat,Colorado,0.0,124.0,86.8
