,county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020","Rates of Persons, aged 55+, Living with HIV, 2020",HIV aged 45+
559,Bonner,Idaho,0.0,0.0,
560,Bonneville,Idaho,0.0,0.0,
561,Boundary,Idaho,0.0,0.0,
562,Butte,Idaho,0.0,0.0,
563,Camas,Idaho,0.0,0.0,
564,Canyon,Idaho,0.0,0.0,
565,Caribou,Idaho,0.0,0.0,
566,Cassia,Idaho,0.0,0.0,
567,Clark,Idaho,0.0,0.0,
568,Clearwater,Idaho,0.0,0.0,
569,Custer,Idaho,0.0,0.0,
570,Elmore,Idaho,0.0,0.0,
571,Franklin,Idaho,0.0,0.0,
572,Fremont,Idaho,0.0,0.0,
573,Gem,Idaho,0.0,0.0,
574,Gooding,Idaho,0.0,0.0,
575,Idaho,Idaho,0.0,0.0,
576,Jefferson,Idaho,0.0,0.0,
577,Jerome,Idaho,0.0,0.0,
578,Kootenai,Idaho,0.0,0.0,
579,Latah,Idaho,0.0,0.0,
580,Lemhi,Idaho,0.0,0.0,
581,Lewis,Idaho,0.0,0.0,
582,Lincoln,Idaho,0.0,0.0,
583,Madison,Idaho,0.0,0.0,
584,Minidoka,Idaho,0.0,0.0,
585,Nez Perce,Idaho,0.0,0.0,
586,Oneida,Idaho,0.0,0.0,
587,Owyhee,Idaho,0.0,0.0,
588,Payette,Idaho,0.0,0.0,
589,Power,Idaho,0.0,0.0,
590,Shoshone,Idaho,0.0,0.0,
591,Teton,Idaho,0.0,0.0,
592,Twin Falls,Idaho,0.0,0.0,
593,Valley,Idaho,0.0,0.0,
594,Washington,Idaho,0.0,0.0,
595,Adams,Illinois,0.0,0.0,
596,Alexander,Illinois,0.0,0.0,
597,Bond,Illinois,0.0,0.0,
598,Boone,Illinois,0.0,0.0,
599,Brown,Illinois,0.0,0.0,
600,Bureau,Illinois,0.0,0.0,
601,Calhoun,Illinois,0.0,0.0,
602,Carroll,Illinois,0.0,0.0,
603,Cass,Illinois,0.0,0.0,
604,Champaign,Illinois,0.0,0.0,
605,Christian,Illinois,0.0,0.0,
606,Clark,Illinois,0.0,0.0,
607,Clay,Illinois,0.0,0.0,
608,Clinton,Illinois,0.0,0.0,
609,Coles,Illinois,0.0,0.0,
610,Cook,Illinois,975.0,634.0,736.3
611,Crawford,Illinois,0.0,0.0,
612,Cumberland,Illinois,0.0,0.0,
613,De Witt,Illinois,0.0,0.0,
614,DeKalb,Illinois,0.0,0.0,
615,Douglas,Illinois,0.0,0.0,
616,DuPage,Illinois,166.0,91.0,113.5
617,Edgar,Illinois,0.0,0.0,
618,Edwards,Illinois,0.0,0.0,
619,Effingham,Illinois,0.0,0.0,
620,Fayette,Illinois,0.0,0.0,
621,Ford,Illinois,0.0,0.0,
622,Franklin,Illinois,0.0,0.0,
623,Fulton,Illinois,0.0,0.0,
624,Gallatin,Illinois,0.0,0.0,
625,Greene,Illinois,0.0,0.0,
626,Grundy,Illinois,0.0,0.0,
627,Hamilton,Illinois,0.0,0.0,
628,Hancock,Illinois,0.0,0.0,
629,Hardin,Illinois,0.0,0.0,
630,Henderson,Illinois,0.0,0.0,
631,Henry,Illinois,0.0,0.0,
632,Iroquois,Illinois,0.0,0.0,
633,Jackson,Illinois,0.0,0.0,
634,Jasper,Illinois,0.0,0.0,
635,Jefferson,Illinois,0.0,0.0,
636,Jersey,Illinois,0.0,0.0,
637,Jo Daviess,Illinois,0.0,0.0,
638,Johnson,Illinois,0.0,0.0,
639,Kane,Illinois,0.0,0.0,
640,Kankakee,Illinois,0.0,0.0,
641,Kendall,Illinois,0.0,0.0,
642,Knox,Illinois,0.0,0.0,
643,Lake,Illinois,206.0,134.0,155.6
644,LaSalle,Illinois,0.0,0.0,
645,Lawrence,Illinois,0.0,0.0,
646,Lee,Illinois,0.0,0.0,
647,Livingston,Illinois,0.0,0.0,
648,Logan,Illinois,0.0,0.0,
649,Macon,Illinois,0.0,0.0,
650,Macoupin,Illinois,0.0,0.0,
651,Madison,Illinois,0.0,0.0,
652,Marion,Illinois,0.0,0.0,
653,Marshall,Illinois,0.0,0.0,
654,Mason,Illinois,0.0,0.0,
655,Massac,Illinois,0.0,0.0,
656,McDonough,Illinois,0.0,0.0,
657,McHenry,Illinois,0.0,0.0,
658,McLean,Illinois,0.0,0.0,
659,Menard,Illinois,0.0,0.0,
660,Mercer,Illinois,0.0,0.0,
661,Monroe,Illinois,0.0,0.0,
662,Montgomery,Illinois,0.0,0.0,
663,Morgan,Illinois,0.0,0.0,
664,Moultrie,Illinois,0.0,0.0,
665,Ogle,Illinois,0.0,0.0,
666,Peoria,Illinois,0.0,0.0,
667,Perry,Illinois,0.0,0.0,
668,Piatt,Illinois,0.0,0.0,
669,Pike,Illinois,0.0,0.0,
670,Pope,Illinois,0.0,0.0,
671,Pulaski,Illinois,0.0,0.0,
672,Putnam,Illinois,0.0,0.0,
673,Randolph,Illinois,0.0,0.0,
674,Richland,Illinois,0.0,0.0,
675,Rock Island,Illinois,0.0,0.0,
676,Saline,Illinois,0.0,0.0,
677,Sangamon,Illinois,0.0,0.0,
678,Schuyler,Illinois,0.0,0.0,
679,Scott,Illinois,0.0,0.0,
680,Shelby,Illinois,0.0,0.0,
681,St. Clair,Illinois,0.0,0.0,
682,Stark,Illinois,0.0,0.0,
683,Stephenson,Illinois,0.0,0.0,
684,Tazewell,Illinois,0.0,0.0,
685,Union,Illinois,0.0,0.0,
686,Vermilion,Illinois,0.0,0.0,
687,Wabash,Illinois,0.0,0.0,
688,Warren,Illinois,0.0,0.0,
689,Washington,Illinois,0.0,0.0,
690,Wayne,Illinois,0.0,0.0,
691,White,Illinois,0.0,0.0,
692,Whiteside,Illinois,0.0,0.0,
693,Will,Illinois,151.0,110.0,122.3
694,Williamson,Illinois,0.0,0.0,
695,Winnebago,Illinois,0.0,0.0,
696,Woodford,Illinois,0.0,0.0,
697,Adams,Indiana,0.0,0.0,
698,Allen,Indiana,310.0,194.0,228.79999999999998
699,Bartholomew,Indiana,116.0,0.0,34.8
700,Benton,Indiana,0.0,0.0,
701,Blackford,Indiana,0.0,0.0,
702,Boone,Indiana,152.0,0.0,45.6
703,Brown,Indiana,0.0,0.0,
704,Carroll,Indiana,0.0,0.0,
705,Cass,Indiana,294.0,81.0,144.9
706,Clark,Indiana,401.0,245.0,291.8
707,Clay,Indiana,276.0,81.0,139.5
708,Clinton,Indiana,184.0,0.0,55.199999999999996
709,Crawford,Indiana,0.0,0.0,
710,Daviess,Indiana,142.0,128.0,132.2
711,Dearborn,Indiana,0.0,54.0,37.8
712,Decatur,Indiana,210.0,72.0,113.4
713,DeKalb,Indiana,148.0,0.0,44.4
714,Delaware,Indiana,193.0,0.0,57.9
715,Dubois,Indiana,176.0,35.0,77.3
716,Elkhart,Indiana,241.0,111.0,150.0
717,Fayette,Indiana,236.0,0.0,70.8
718,Floyd,Indiana,201.0,0.0,60.3
719,Fountain,Indiana,0.0,0.0,
720,Franklin,Indiana,0.0,0.0,
721,Fulton,Indiana,0.0,73.0,51.099999999999994
722,Gibson,Indiana,146.0,102.0,115.19999999999999
723,Grant,Indiana,201.0,132.0,152.7
724,Greene,Indiana,191.0,62.0,100.69999999999999
725,Hamilton,Indiana,165.0,110.0,126.5
726,Hancock,Indiana,151.0,106.0,119.49999999999999
727,Harrison,Indiana,0.0,94.0,65.8
728,Hendricks,Indiana,261.0,96.0,145.5
729,Henry,Indiana,251.0,111.0,153.0
730,Howard,Indiana,315.0,0.0,94.5
731,Huntington,Indiana,0.0,126.0,88.19999999999999
732,Jackson,Indiana,231.0,0.0,69.3
733,Jasper,Indiana,123.0,74.0,88.69999999999999
734,Jay,Indiana,0.0,77.0,53.9
735,Jefferson,Indiana,198.0,0.0,59.4
736,Jennings,Indiana,0.0,0.0,
737,Johnson,Indiana,233.0,0.0,69.89999999999999
738,Knox,Indiana,178.0,0.0,53.4
739,Kosciusko,Indiana,55.0,0.0,16.5
740,LaGrange,Indiana,0.0,0.0,
741,Lake,Indiana,429.0,237.0,294.59999999999997
742,LaPorte,Indiana,316.0,0.0,94.8
743,Lawrence,Indiana,119.0,94.0,101.5
744,Madison,Indiana,362.0,164.0,223.39999999999998
745,Marion,Indiana,1063.0,581.0,725.5999999999999
746,Marshall,Indiana,0.0,53.0,37.099999999999994
747,Martin,Indiana,0.0,0.0,
748,Miami,Indiana,195.0,0.0,58.5
749,Monroe,Indiana,375.0,229.0,272.79999999999995
750,Montgomery,Indiana,196.0,118.0,141.39999999999998
751,Morgan,Indiana,155.0,0.0,46.5
752,Newton,Indiana,0.0,0.0,
753,Noble,Indiana,0.0,61.0,42.699999999999996
754,Ohio,Indiana,0.0,0.0,
755,Orange,Indiana,216.0,0.0,64.8
756,Owen,Indiana,0.0,0.0,
757,Parke,Indiana,0.0,136.0,95.19999999999999
758,Perry,Indiana,309.0,0.0,92.7
759,Pike,Indiana,0.0,0.0,
760,Porter,Indiana,147.0,114.0,123.9
761,Posey,Indiana,0.0,78.0,54.599999999999994
762,Pulaski,Indiana,0.0,0.0,
763,Putnam,Indiana,437.0,0.0,131.1
764,Randolph,Indiana,0.0,129.0,90.3
765,Ripley,Indiana,0.0,0.0,
766,Rush,Indiana,0.0,0.0,
767,Scott,Indiana,1068.0,0.0,320.4
768,Shelby,Indiana,103.0,0.0,30.9
769,Spencer,Indiana,0.0,0.0,
770,St. Joseph,Indiana,528.0,251.0,334.1
771,Starke,Indiana,210.0,0.0,63.0
772,Steuben,Indiana,164.0,0.0,49.199999999999996
773,Sullivan,Indiana,181.0,0.0,54.3
774,Switzerland,Indiana,0.0,0.0,
775,Tippecanoe,Indiana,257.0,120.0,161.1
776,Tipton,Indiana,0.0,0.0,
777,Union,Indiana,0.0,0.0,
778,Vanderburgh,Indiana,378.0,204.0,256.2
779,Vermillion,Indiana,0.0,0.0,
780,Vigo,Indiana,375.0,0.0,112.5
781,Wabash,Indiana,139.0,0.0,41.699999999999996
782,Warren,Indiana,0.0,0.0,
783,Warrick,Indiana,99.0,94.0,95.5
784,Washington,Indiana,165.0,76.0,102.69999999999999
785,Wayne,Indiana,248.0,0.0,74.39999999999999
786,Wells,Indiana,0.0,0.0,
787,White,Indiana,0.0,70.0,49.0
788,Whitley,Indiana,0.0,61.0,42.699999999999996
789,Adair,Iowa,0.0,0.0,
790,Adams,Iowa,0.0,0.0,
791,Allamakee,Iowa,0.0,0.0,
792,Appanoose,Iowa,0.0,0.0,
793,Audubon,Iowa,0.0,264.0,184.79999999999998
794,Benton,Iowa,0.0,57.0,39.9
795,Black Hawk,Iowa,272.0,0.0,81.6
796,Boone,Iowa,0.0,99.0,69.3
797,Bremer,Iowa,0.0,0.0,
798,Buchanan,Iowa,0.0,0.0,
799,Buena Vista,Iowa,257.0,0.0,77.1
800,Butler,Iowa,0.0,0.0,
801,Calhoun,Iowa,0.0,0.0,
802,Carroll,Iowa,0.0,0.0,
803,Cass,Iowa,0.0,0.0,
804,Cedar,Iowa,0.0,0.0,
805,Cerro Gordo,Iowa,262.0,0.0,78.6
806,Cherokee,Iowa,0.0,0.0,
807,Chickasaw,Iowa,0.0,0.0,
808,Clarke,Iowa,0.0,0.0,
809,Clay,Iowa,0.0,0.0,
810,Clayton,Iowa,0.0,84.0,58.8
811,Clinton,Iowa,222.0,110.0,143.6
812,Crawford,Iowa,0.0,0.0,
813,Dallas,Iowa,143.0,0.0,42.9
814,Davis,Iowa,0.0,0.0,
815,Decatur,Iowa,0.0,0.0,
816,Delaware,Iowa,0.0,0.0,
817,Des Moines,Iowa,0.0,72.0,50.4
818,Dickinson,Iowa,0.0,0.0,
819,Dubuque,Iowa,122.0,0.0,36.6
820,Emmet,Iowa,0.0,0.0,
821,Fayette,Iowa,282.0,0.0,84.6
822,Floyd,Iowa,0.0,0.0,
823,Franklin,Iowa,0.0,0.0,
824,Fremont,Iowa,0.0,0.0,
825,Greene,Iowa,0.0,0.0,
826,Grundy,Iowa,0.0,0.0,
827,Guthrie,Iowa,0.0,0.0,
828,Hamilton,Iowa,0.0,0.0,
829,Hancock,Iowa,0.0,0.0,
830,Hardin,Iowa,0.0,93.0,65.1
831,Harrison,Iowa,0.0,0.0,
832,Henry,Iowa,0.0,0.0,
833,Howard,Iowa,0.0,0.0,
834,Humboldt,Iowa,0.0,0.0,
835,Ida,Iowa,0.0,0.0,
836,Iowa,Iowa,0.0,88.0,61.599999999999994
837,Jackson,Iowa,0.0,0.0,
838,Jasper,Iowa,153.0,80.0,101.9
839,Jefferson,Iowa,0.0,0.0,
840,Johnson,Iowa,273.0,211.0,229.59999999999997
841,Jones,Iowa,241.0,0.0,72.3
842,Keokuk,Iowa,0.0,0.0,
843,Kossuth,Iowa,0.0,0.0,
844,Lee,Iowa,0.0,66.0,46.199999999999996
845,Linn,Iowa,215.0,139.0,161.8
846,Louisa,Iowa,0.0,0.0,
847,Lucas,Iowa,0.0,0.0,
848,Lyon,Iowa,0.0,0.0,
849,Madison,Iowa,0.0,176.0,123.19999999999999
850,Mahaska,Iowa,0.0,99.0,69.3
851,Marion,Iowa,0.0,0.0,
852,Marshall,Iowa,247.0,64.0,118.89999999999999
853,Mills,Iowa,0.0,0.0,
854,Mitchell,Iowa,0.0,0.0,
855,Monona,Iowa,0.0,0.0,
856,Monroe,Iowa,0.0,0.0,
857,Montgomery,Iowa,0.0,0.0,
858,Muscatine,Iowa,120.0,61.0,78.69999999999999
859,O'Brien,Iowa,0.0,0.0,
860,Osceola,Iowa,0.0,0.0,
861,Page,Iowa,0.0,89.0,62.3
862,Palo Alto,Iowa,0.0,0.0,
863,Plymouth,Iowa,0.0,0.0,
864,Pocahontas,Iowa,0.0,0.0,
865,Polk,Iowa,381.0,209.0,260.59999999999997
866,Pottawattamie,Iowa,391.0,0.0,117.3
867,Poweshiek,Iowa,0.0,125.0,87.5
868,Ringgold,Iowa,0.0,0.0,
869,Sac,Iowa,0.0,0.0,
870,Scott,Iowa,283.0,0.0,84.89999999999999
871,Shelby,Iowa,0.0,0.0,
872,Sioux,Iowa,0.0,0.0,
873,Story,Iowa,172.0,68.0,99.19999999999999
874,Tama,Iowa,0.0,85.0,59.49999999999999
875,Taylor,Iowa,0.0,0.0,
876,Union,Iowa,0.0,0.0,
877,Van Buren,Iowa,0.0,0.0,
878,Wapello,Iowa,152.0,0.0,45.6
879,Warren,Iowa,0.0,46.0,32.199999999999996
880,Washington,Iowa,203.0,0.0,60.9
881,Wayne,Iowa,0.0,0.0,
882,Webster,Iowa,0.0,0.0,
883,Winnebago,Iowa,0.0,0.0,
884,Winneshiek,Iowa,0.0,0.0,
885,Woodbury,Iowa,318.0,0.0,95.39999999999999
886,Worth,Iowa,0.0,0.0,
887,Wright,Iowa,0.0,0.0,
888,Allen,Kansas,0.0,0.0,
889,Anderson,Kansas,0.0,0.0,
890,Atchison,Kansas,0.0,100.0,70.0
891,Barber,Kansas,0.0,0.0,
892,Barton,Kansas,0.0,100.0,70.0
893,Bourbon,Kansas,0.0,146.0,102.19999999999999
894,Brown,Kansas,0.0,0.0,
895,Butler,Kansas,140.0,101.0,112.69999999999999
896,Chase,Kansas,0.0,0.0,
897,Chautauqua,Kansas,0.0,0.0,
898,Cherokee,Kansas,206.0,0.0,61.8
899,Cheyenne,Kansas,0.0,0.0,
900,Clark,Kansas,0.0,0.0,
901,Clay,Kansas,0.0,0.0,
902,Cloud,Kansas,0.0,164.0,114.8
903,Coffey,Kansas,0.0,0.0,
904,Comanche,Kansas,0.0,0.0,
905,Cowley,Kansas,152.0,91.0,109.3
906,Crawford,Kansas,128.0,0.0,38.4
907,Decatur,Kansas,0.0,0.0,
908,Dickinson,Kansas,0.0,0.0,
909,Doniphan,Kansas,0.0,0.0,
910,Douglas,Kansas,198.0,81.0,116.1
911,Edwards,Kansas,0.0,0.0,
912,Elk,Kansas,0.0,0.0,
913,Ellis,Kansas,0.0,87.0,60.9
914,Ellsworth,Kansas,0.0,0.0,
915,Finney,Kansas,0.0,100.0,70.0
916,Ford,Kansas,240.0,0.0,72.0
917,Franklin,Kansas,0.0,109.0,76.3
918,Geary,Kansas,259.0,299.0,287.0
919,Gove,Kansas,0.0,0.0,
920,Graham,Kansas,0.0,0.0,
921,Grant,Kansas,0.0,0.0,
922,Gray,Kansas,0.0,0.0,
923,Greeley,Kansas,0.0,0.0,
924,Greenwood,Kansas,0.0,0.0,
925,Hamilton,Kansas,0.0,0.0,
926,Harper,Kansas,0.0,0.0,
927,Harvey,Kansas,172.0,62.0,95.0
928,Haskell,Kansas,0.0,0.0,
929,Hodgeman,Kansas,0.0,0.0,
930,Jackson,Kansas,0.0,0.0,
931,Jefferson,Kansas,0.0,0.0,
932,Jewell,Kansas,0.0,0.0,
933,Johnson,Kansas,257.0,147.0,180.0
934,Kearny,Kansas,0.0,0.0,
935,Kingman,Kansas,0.0,0.0,
936,Kiowa,Kansas,0.0,0.0,
937,Labette,Kansas,359.0,74.0,159.5
938,Lane,Kansas,0.0,0.0,
939,Leavenworth,Kansas,239.0,0.0,71.7
940,Lincoln,Kansas,0.0,0.0,
941,Linn,Kansas,0.0,0.0,
942,Logan,Kansas,0.0,0.0,
943,Lyon,Kansas,0.0,0.0,
944,Marion,Kansas,0.0,0.0,
945,Marshall,Kansas,0.0,0.0,
946,McPherson,Kansas,0.0,61.0,42.699999999999996
947,Meade,Kansas,0.0,0.0,
948,Miami,Kansas,0.0,89.0,62.3
949,Mitchell,Kansas,0.0,0.0,
950,Montgomery,Kansas,146.0,64.0,88.6
951,Morris,Kansas,0.0,0.0,
952,Morton,Kansas,0.0,0.0,
953,Nemaha,Kansas,0.0,0.0,
954,Neosho,Kansas,0.0,0.0,
955,Ness,Kansas,0.0,0.0,
956,Norton,Kansas,0.0,0.0,
957,Osage,Kansas,0.0,0.0,
958,Osborne,Kansas,0.0,0.0,
959,Ottawa,Kansas,0.0,0.0,
960,Pawnee,Kansas,0.0,0.0,
961,Phillips,Kansas,0.0,0.0,
962,Pottawatomie,Kansas,0.0,0.0,
963,Pratt,Kansas,0.0,0.0,
964,Rawlins,Kansas,0.0,0.0,
965,Reno,Kansas,220.0,43.0,96.1
966,Republic,Kansas,0.0,0.0,
967,Rice,Kansas,0.0,0.0,
968,Riley,Kansas,198.0,76.0,112.6
969,Rooks,Kansas,0.0,0.0,
970,Rush,Kansas,0.0,0.0,
971,Russell,Kansas,0.0,0.0,
972,Saline,Kansas,162.0,0.0,48.6
973,Scott,Kansas,0.0,0.0,
974,Sedgwick,Kansas,387.0,239.0,283.4
975,Seward,Kansas,337.0,159.0,212.39999999999998
976,Shawnee,Kansas,299.0,143.0,189.8
977,Sheridan,Kansas,0.0,0.0,
978,Sherman,Kansas,0.0,0.0,
979,Smith,Kansas,0.0,0.0,
980,Stafford,Kansas,0.0,0.0,
981,Stanton,Kansas,0.0,0.0,
982,Stevens,Kansas,0.0,0.0,
983,Sumner,Kansas,318.0,0.0,95.39999999999999
984,Thomas,Kansas,0.0,0.0,
985,Trego,Kansas,0.0,0.0,
986,Wabaunsee,Kansas,0.0,0.0,
987,Wallace,Kansas,0.0,0.0,
988,Washington,Kansas,0.0,0.0,
989,Wichita,Kansas,0.0,0.0,
990,Wilson,Kansas,0.0,0.0,
991,Woodson,Kansas,0.0,0.0,
992,Wyandotte,Kansas,635.0,352.0,436.9
993,Adair,Kentucky,0.0,0.0,
994,Allen,Kentucky,0.0,0.0,
995,Anderson,Kentucky,0.0,0.0,
996,Ballard,Kentucky,0.0,0.0,
997,Barren,Kentucky,0.0,0.0,
998,Bath,Kentucky,0.0,0.0,
999,Bell,Kentucky,0.0,0.0,
1000,Boone,Kentucky,131.0,0.0,39.3
1001,Bourbon,Kentucky,0.0,0.0,
1002,Boyd,Kentucky,0.0,0.0,
1003,Boyle,Kentucky,0.0,0.0,
1004,Bracken,Kentucky,0.0,0.0,
1005,Breathitt,Kentucky,0.0,0.0,
1006,Breckinridge,Kentucky,0.0,0.0,
1007,Bullitt,Kentucky,141.0,47.0,75.19999999999999
1008,Butler,Kentucky,0.0,0.0,
1009,Caldwell,Kentucky,0.0,0.0,
1010,Calloway,Kentucky,0.0,0.0,
1011,Campbell,Kentucky,324.0,0.0,97.2
1012,Carlisle,Kentucky,0.0,0.0,
1013,Carroll,Kentucky,0.0,0.0,
1014,Carter,Kentucky,0.0,0.0,
1015,Casey,Kentucky,0.0,0.0,
1016,Christian,Kentucky,356.0,169.0,225.1
1017,Clark,Kentucky,0.0,0.0,
1018,Clay,Kentucky,0.0,0.0,
1019,Clinton,Kentucky,0.0,0.0,
1020,Crittenden,Kentucky,0.0,0.0,
1021,Cumberland,Kentucky,0.0,0.0,
1022,Daviess,Kentucky,234.0,0.0,70.2
1023,Edmonson,Kentucky,0.0,0.0,
1024,Elliott,Kentucky,0.0,0.0,
1025,Estill,Kentucky,0.0,0.0,
1026,Fayette,Kentucky,760.0,387.0,498.9
1027,Fleming,Kentucky,0.0,0.0,
1028,Floyd,Kentucky,0.0,0.0,
1029,Franklin,Kentucky,0.0,0.0,
1030,Fulton,Kentucky,0.0,0.0,
1031,Gallatin,Kentucky,0.0,0.0,
1032,Garrard,Kentucky,0.0,0.0,
1033,Grant,Kentucky,0.0,0.0,
1034,Graves,Kentucky,0.0,0.0,
1035,Grayson,Kentucky,0.0,0.0,
1036,Green,Kentucky,0.0,0.0,
1037,Greenup,Kentucky,0.0,0.0,
1038,Hancock,Kentucky,0.0,0.0,
1039,Hardin,Kentucky,398.0,171.0,239.09999999999997
1040,Harlan,Kentucky,0.0,0.0,
1041,Harrison,Kentucky,0.0,0.0,
1042,Hart,Kentucky,0.0,0.0,
1043,Henderson,Kentucky,0.0,0.0,
1044,Henry,Kentucky,0.0,0.0,
1045,Hickman,Kentucky,0.0,0.0,
1046,Hopkins,Kentucky,0.0,0.0,
1047,Jackson,Kentucky,0.0,0.0,
1048,Jefferson,Kentucky,856.0,465.0,582.3
1049,Jessamine,Kentucky,0.0,0.0,
1050,Johnson,Kentucky,0.0,0.0,
1051,Kenton,Kentucky,452.0,219.0,288.9
1052,Knott,Kentucky,0.0,0.0,
1053,Knox,Kentucky,0.0,0.0,
1054,Larue,Kentucky,0.0,0.0,
1055,Laurel,Kentucky,224.0,0.0,67.2
1056,Lawrence,Kentucky,0.0,0.0,
1057,Lee,Kentucky,0.0,0.0,
1058,Leslie,Kentucky,0.0,0.0,
1059,Letcher,Kentucky,0.0,0.0,
1060,Lewis,Kentucky,0.0,0.0,
1061,Lincoln,Kentucky,0.0,0.0,
1062,Livingston,Kentucky,0.0,0.0,
1063,Logan,Kentucky,0.0,0.0,
1064,Lyon,Kentucky,0.0,0.0,
1065,Madison,Kentucky,198.0,119.0,142.7
1066,Magoffin,Kentucky,0.0,0.0,
1067,Marion,Kentucky,0.0,0.0,
1068,Marshall,Kentucky,0.0,0.0,
1069,Martin,Kentucky,0.0,0.0,
1070,Mason,Kentucky,0.0,0.0,
1071,McCracken,Kentucky,557.0,243.0,337.2
1072,McCreary,Kentucky,0.0,0.0,
1073,McLean,Kentucky,0.0,0.0,
1074,Meade,Kentucky,0.0,0.0,
1075,Menifee,Kentucky,0.0,0.0,
1076,Mercer,Kentucky,0.0,0.0,
1077,Metcalfe,Kentucky,0.0,0.0,
1078,Monroe,Kentucky,0.0,0.0,
1079,Montgomery,Kentucky,0.0,0.0,
1080,Morgan,Kentucky,0.0,0.0,
1081,Muhlenberg,Kentucky,0.0,0.0,
1082,Nelson,Kentucky,0.0,0.0,
1083,Nicholas,Kentucky,0.0,0.0,
1084,Ohio,Kentucky,0.0,0.0,
1085,Oldham,Kentucky,177.0,0.0,53.1
1086,Owen,Kentucky,0.0,0.0,
1087,Owsley,Kentucky,0.0,0.0,
1088,Pendleton,Kentucky,0.0,0.0,
1089,Perry,Kentucky,0.0,0.0,
1090,Pike,Kentucky,0.0,0.0,
1091,Powell,Kentucky,0.0,0.0,
1092,Pulaski,Kentucky,93.0,90.0,90.89999999999999
1093,Robertson,Kentucky,0.0,0.0,
1094,Rockcastle,Kentucky,0.0,0.0,
1095,Rowan,Kentucky,0.0,0.0,
1096,Russell,Kentucky,0.0,0.0,
1097,Scott,Kentucky,0.0,0.0,
1098,Shelby,Kentucky,0.0,0.0,
1099,Simpson,Kentucky,0.0,0.0,
1100,Spencer,Kentucky,0.0,0.0,
1101,Taylor,Kentucky,0.0,0.0,
1102,Todd,Kentucky,0.0,0.0,
1103,Trigg,Kentucky,0.0,0.0,
1104,Trimble,Kentucky,0.0,0.0,
1105,Union,Kentucky,0.0,0.0,
1106,Warren,Kentucky,359.0,161.0,220.39999999999998
1107,Washington,Kentucky,0.0,0.0,
1108,Wayne,Kentucky,0.0,0.0,
1109,Webster,Kentucky,0.0,0.0,
1110,Whitley,Kentucky,0.0,0.0,
1111,Wolfe,Kentucky,0.0,0.0,
1112,Woodford,Kentucky,0.0,0.0,
1113,Acadia,Louisiana,916.0,421.0,569.5
1114,Allen,Louisiana,1507.0,0.0,452.09999999999997
1115,Ascension,Louisiana,357.0,266.0,293.29999999999995
1116,Assumption,Louisiana,1185.0,546.0,737.7
1117,Avoyelles,Louisiana,1179.0,606.0,777.9
1118,Beauregard,Louisiana,284.0,0.0,85.2
1119,Bienville,Louisiana,1854.0,0.0,556.1999999999999
1120,Bossier,Louisiana,798.0,374.0,501.2
1121,Caddo,Louisiana,753.0,310.0,442.9
1122,Calcasieu,Louisiana,630.0,313.0,408.1
1123,Caldwell,Louisiana,504.0,446.0,463.4
1124,Cameron,Louisiana,0.0,0.0,
1125,Catahoula,Louisiana,1099.0,326.0,557.9
1126,Claiborne,Louisiana,892.0,0.0,267.59999999999997
1127,Concordia,Louisiana,799.0,0.0,239.7
1128,De Soto,Louisiana,151.0,0.0,45.3
1129,East Baton Rouge,Louisiana,2022.0,993.0,1301.6999999999998
1130,East Carroll,Louisiana,0.0,476.0,333.2
1131,East Feliciana,Louisiana,467.0,136.0,235.29999999999998
1132,Evangeline,Louisiana,554.0,0.0,166.2
1133,Franklin,Louisiana,370.0,0.0,111.0
1134,Grant,Louisiana,410.0,0.0,123.0
1135,Iberia,Louisiana,557.0,319.0,390.4
1136,Iberville,Louisiana,1546.0,0.0,463.79999999999995
1137,Jackson,Louisiana,590.0,338.0,413.6
1138,Jefferson,Louisiana,913.0,470.0,602.9
1139,Jefferson Davis,Louisiana,312.0,116.0,174.79999999999998
1140,La Salle,Louisiana,1080.0,180.0,450.0
1141,Lafayette,Louisiana,595.0,394.0,454.29999999999995
1142,Lafourche,Louisiana,314.0,149.0,198.5
1143,Lincoln,Louisiana,367.0,106.0,184.29999999999998
1144,Livingston,Louisiana,582.0,313.0,393.7
1145,Madison,Louisiana,1010.0,0.0,303.0
1146,Morehouse,Louisiana,822.0,318.0,469.2
1147,Natchitoches,Louisiana,758.0,389.0,499.69999999999993
1148,Orleans,Louisiana,2464.0,1523.0,1805.2999999999997
1149,Ouachita,Louisiana,892.0,422.0,563.0
1150,Plaquemines,Louisiana,549.0,255.0,343.2
1151,Pointe Coupee,Louisiana,492.0,0.0,147.6
1152,Rapides,Louisiana,659.0,333.0,430.79999999999995
1153,Red River,Louisiana,0.0,0.0,
1154,Richland,Louisiana,0.0,0.0,
1155,Sabine,Louisiana,0.0,118.0,82.6
1156,St. Bernard,Louisiana,1004.0,513.0,660.3
1157,St. Charles,Louisiana,741.0,364.0,477.09999999999997
1158,St. Helena,Louisiana,1351.0,0.0,405.3
1159,St. James,Louisiana,761.0,276.0,421.5
1160,St. John the Baptist,Louisiana,194.0,0.0,58.199999999999996
1161,St. Landry,Louisiana,750.0,374.0,486.8
1162,St. Martin,Louisiana,0.0,106.0,74.19999999999999
1163,St. Mary,Louisiana,262.0,151.0,184.29999999999998
1164,St. Tammany,Louisiana,433.0,253.0,307.0
